DD,PC ,4153 ,Istanbul S.Gokcen   ,                    ,2050,2150,03  ,Last Call                     ,04.08.2015
DD,PC ,131  ,Istanbul S.Gokcen   ,                    ,2200,2255,02  ,Security Control              ,04.08.2015
DD,TK ,2815 ,Istanbul            ,                    ,2320,2320,01  ,Counter Open                  ,04.08.2015
DD,TK ,2819 ,Istanbul            ,                    ,0510,0510,01  ,                              ,05.08.2015
DD,PC ,153  ,Istanbul S.Gokcen   ,                    ,0600,0600,01  ,                              ,05.08.2015
DD,THY,7235 ,Istanbul S.Gokcen   ,                    ,0635,0635,01  ,                              ,05.08.2015
DD,8Q ,177  ,Istanbul            ,                    ,0705,0705,01  ,                              ,05.08.2015
DD,TK ,2807 ,Istanbul            ,                    ,0800,0800,01  ,                              ,05.08.2015
DD,XQ ,9159 ,Izmir               ,                    ,0845,0845,01  ,                              ,05.08.2015
DD,PC ,4131 ,Istanbul S.Gokcen   ,                    ,0945,0945,01  ,                              ,05.08.2015
DD,THY,7133 ,Ankara              ,                    ,1015,1015,01  ,                              ,05.08.2015
DD,THY,7237 ,Istanbul S.Gokcen   ,                    ,1025,1025,01  ,                              ,05.08.2015
DD,PC ,4431 ,Istanbul S.Gokcen   ,                    ,1255,1255,    ,                              ,05.08.2015
